iteration,time_seconds,objective
0,1.430511474609375e-06,9615065.184884354
1,0.18956303596496582,3774066.7158761933
2,0.41237616539001465,2828141.4948347085
3,0.7233352661132812,2601512.695018348
4,1.3110568523406982,2233343.0244759815
5,1.5348083972930908,1808528.7285461356
6,2.6985647678375244,1252665.0201519665
7,4.40234899520874,1080373.9129752868
8,4.744982004165649,819427.670875389
9,7.739299535751343,597887.3400980233
10,9.174138069152832,541752.4020301343
11,9.85834002494812,507579.69495378825
12,9.91874623298645,427314.3831055328
13,9.980907440185547,370839.6484689789
14,10.259063959121704,355929.70772091544
15,10.433127164840698,330915.2053139607
16,10.645148992538452,317832.1432364232
17,10.908071279525757,311438.8635880981
18,11.070190906524658,303393.2763861697
19,11.180620193481445,297276.1247409515
20,11.269116878509521,293233.8142799128
21,11.422126054763794,288879.6776602753
22,11.489265203475952,285540.31644713524
23,11.703022718429565,281851.8365391996
24,11.940877437591553,279191.92058292706
25,12.123785734176636,275985.1493727659
26,12.287789583206177,273962.74591590336
27,12.382452964782715,271417.84290628147
28,12.511146545410156,269202.39820117154
29,12.752657413482666,267737.92262293765
30,12.960042238235474,266077.78807449527
31,13.151404857635498,264903.3359016217
32,13.216510534286499,263300.3022829552
33,13.285812139511108,262192.16064931656
34,13.485402345657349,260812.93056071998
35,13.567788362503052,259915.0828114299
36,13.635403871536255,258560.6113469108
37,13.70119571685791,257727.55115925753
38,13.784712553024292,256515.47277447328
39,13.845674514770508,255880.64540525211
40,13.912543773651123,255037.20453585085
41,13.982115507125854,254141.31861709538
42,14.169321298599243,253446.1720008741
43,14.381474494934082,252804.11487971534
44,14.583747625350952,252279.84859203725
45,14.76714277267456,251611.82949155394
46,14.97286605834961,251050.49817978925
47,15.1687490940094,250510.37347264396
48,15.394078493118286,250042.08520652732
49,15.563287734985352,249457.92272255672
50,15.774781227111816,249008.9662784602
51,15.959603548049927,248495.4951370273
52,16.134564876556396,248096.82237361645
53,16.22188425064087,247545.08575412742
54,16.30509638786316,247154.78349256053
55,16.428701877593994,246672.03396502012
56,16.49893617630005,246300.9747918986
57,16.61786389350891,245797.91673453877
58,16.695591926574707,245430.3096350499
59,16.88477921485901,244958.80016879766
60,17.042659521102905,244611.47937421568
61,17.146459817886353,244135.22843855477
62,17.26432490348816,243799.77471210848
63,17.349329948425293,243333.3067162315
64,17.535526037216187,243016.1646271597
65,17.674235820770264,242556.7507972881
66,17.74668836593628,242228.91170569079
67,17.823387384414673,241814.1675672958
68,18.07082200050354,241527.0088086537
69,18.234293222427368,241067.7337024806
70,18.394115924835205,240769.92103617708
71,18.46888566017151,240362.3381920733
72,18.527584075927734,240074.1294469475
73,18.589783668518066,239649.72151693172
74,18.675409078598022,239384.93789457975
75,18.725924968719482,239115.58642767192
76,18.78876519203186,238792.24675585056
77,18.844645023345947,238520.59924082784
78,18.912992000579834,238084.74370783372
79,19.020565032958984,237906.31597582356
80,19.08773970603943,237638.1629416944
81,19.153079986572266,237284.91576759695
82,19.219078063964844,236836.1741384838
83,19.34585165977478,236674.94127649022
84,19.468748092651367,236412.6068031916
85,19.56364345550537,236067.53397778675
86,19.645668268203735,235694.02111536643
87,19.84731888771057,235546.40790388786
88,19.967257022857666,235281.18145470083
89,20.02658748626709,234942.7495412329
90,20.0913667678833,234571.25344718705
91,20.160787105560303,234424.13302680213
92,20.222912788391113,234165.4868612238
93,20.292662858963013,233827.12386950396
94,20.363022804260254,233480.74821711553
95,20.527005195617676,233329.24844603753
96,20.587300777435303,233075.025272782
97,20.645451307296753,232747.45638572157
98,20.71650457382202,232429.0785669962
99,20.894259214401245,232285.61011925174
100,21.02587652206421,232034.68964295075
101,21.109703063964844,231710.86065115707
102,21.182241439819336,231427.25565351703
103,21.244982719421387,231262.52011618993
104,21.30177402496338,231014.74425943338
105,21.397462606430054,230703.56494517694
106,21.53600549697876,230406.16088026526
107,21.604739665985107,230292.32387103187
108,21.696815967559814,230037.4110072474
109,21.759079217910767,229723.2351094536
110,21.83374834060669,229530.294064482
111,21.893492698669434,229356.93322184475
112,21.95589804649353,229170.48642450958
113,22.053460836410522,228966.0316168227
114,22.117006063461304,228807.66839912496
115,22.176299333572388,228631.16321553162
116,22.291618585586548,228444.59938413728
117,22.360469102859497,228277.1157746264
118,22.42532181739807,228120.75349312238
119,22.497644901275635,227938.4267225094
120,22.554677724838257,227780.40146538054
121,22.619632959365845,227616.99965607654
122,22.676592350006104,227457.24723698574
123,22.73003315925598,227290.77548374937
124,22.78551173210144,227128.025585177
125,22.861309051513672,226975.35642377698
126,22.921404123306274,226812.65670962117
127,22.97405195236206,226652.4328719703
128,23.028743743896484,226497.06945588658
129,23.090010166168213,226345.00051874114
130,23.14244794845581,226186.7913527978
131,23.194987535476685,226032.59719796557
132,23.25562834739685,225881.60908847515
133,23.3146812915802,225730.03919363624
134,23.37415623664856,225583.0530614562
135,23.42672300338745,225428.76700267335
136,23.481370210647583,225279.61773449567
137,23.540492057800293,225136.0525365449
138,23.602675199508667,224985.95677906752
139,23.660303831100464,224838.72644498362
140,23.736266136169434,224695.23532341712
